ARTIKEL_ID,LIEFERANT_ID,n_bookings,delivered_units,eur_per_unit
930784,890006780,199581,5526937.0,4.64
930810,890006780,203764,4378684.0,4.42
296155,890006780,176294,4278733.0,3.64
930098,890006780,172214,3882370.0,7.61
296035,890006780,199653,3396879.0,3.31
930808,890006780,193358,3122251.0,4.79
930781,890006780,128009,3018437.0,4.7
298000,890006780,125071,2602652.0,4.93
296149,890006780,73873,2248973.0,3.59
930785,890006780,168559,1794921.0,7.25
296085,890006780,218508,1620286.0,4.01
296081,890006780,250082,1602526.0,3.24
963505,890006780,82870,1512199.0,4.66
296029,890006780,193103,1187477.0,3.76
296095,890006780,178549,1145718.0,5.18
296853,890006780,72442,1125885.0,3.66
296812,890006780,182242,1117716.0,4.65
930132,890006780,57946,972184.0,11.6
296863,890006780,120229,934533.0,5.15
296858,890006780,85054,842822.0,4.64
930096,890006780,128684,688983.0,5.76
296009,890006780,83865,651512.0,3.16
566768,890006780,154903,615729.0,0.01
930210,890006780,128111,600984.0,6.01
297315,890006780,44563,591308.0,5.02
930215,890006780,27191,589993.0,10.12
1076367,890006780,78,546590.0,3.75
1091051,890006780,26430,527024.0,3.91
296848,890006780,50437,483365.0,4.2
930108,890006780,75963,468531.0,9.62
930109,890006780,45381,457873.0,8.28
296106,890006780,102362,452899.0,1.98
930214,890006780,18977,393896.0,10.26
296771,890006780,27934,379192.0,4.62
296090,890006780,31389,376499.0,4.3
316244,890006780,35286,351997.0,4.97
297258,890006780,18878,348263.0,4.45
1312682,890006780,73969,328790.0,9.35
930783,890006780,32862,324752.0,5.57
296815,890006780,76597,307143.0,5.82
1312959,890006780,73602,295226.0,10.01
316234,890006780,28227,281032.0,4.06
930687,890006780,36665,269971.0,9.58
930097,890006780,47158,235903.0,15.56
1312642,890006780,72717,227388.0,10.01
930212,890006780,173746,209181.0,1.77
295914,890006780,7098,200817.0,3.93
1215002,890006780,72990,177563.0,14.69
994540,890006780,63809,165921.0,7.45
296745,890006780,12205,164818.0,3.77
1028722,890006780,48702,159887.0,6.7
1294898,890006780,61421,156239.0,11.84
299428,890006780,74811,155585.0,1.33
930213,890006780,42031,150417.0,13.36
1312958,890006780,72409,140331.0,9.72
295980,890006780,3833,135981.0,3.72
1214995,890006780,115843,131392.0,28.62
930209,890006780,35662,130220.0,16.04
296881,890006780,24648,127726.0,4.91
295968,890006780,19069,126437.0,4.42
297710,890006780,19223,120964.0,1.37
1214994,890006780,81149,120127.0,11.22
1028719,890006780,32724,119076.0,5.02
1317380,890006780,33123,116102.0,8.97
297310,890006780,17460,108563.0,3.83
930107,890006780,37110,107883.0,31.77
930110,890006780,18256,106744.0,9.46
299426,890006780,9887,105523.0,4.49
1295066,890006780,50727,105488.0,15.15
1214997,890006780,41087,103093.0,11.2
1294903,890006780,64356,102151.0,11.23
912392,890006780,105,98097.0,7.96
1294899,890006780,55383,94688.0,11.18
861343,890006780,13232,87502.0,3.88
1214991,890006780,97509,85377.0,28.75
296043,890006780,3751,82106.0,4.63
296060,890006780,3235,78196.0,4.61
1072709,890006780,6,77406.0,3.85
1072711,890006780,6,76484.0,3.85
1214996,890006780,40165,76352.0,11.27
930136,890006780,13161,70746.0,8.52
1214984,890006780,34748,68753.0,19.19
296020,890006780,8101,68537.0,3.34
1317387,890006780,26150,62576.0,9.3
1214999,890006780,35965,60567.0,17.66
297262,890006780,11805,59824.0,3.68
297241,890006780,29464,59372.0,3.0
1214992,890006780,95523,59145.0,38.04
316303,890006780,11535,52618.0,6.29
930216,890006780,8434,51484.0,10.58
1055635,890006780,9046,48777.0,6.1
1294912,890006780,50881,48615.0,16.56
297266,890006780,30539,48555.0,1.98
297042,890006780,23246,46691.0,3.2
1215545,890006780,22845,45930.0,12.09
1312681,890006780,70347,43951.0,13.59
297075,890006780,2297,41518.0,4.78
641483,890006780,6897,40348.0,3.81
902068,890006780,1929,38632.0,4.9
566767,890006780,105675,37858.0,0.01
930111,890006780,17559,36366.0,16.29
930218,890006780,4546,35483.0,10.99
295888,890006780,2094,35096.0,2.94
297248,890006780,12871,33998.0,6.84
930134,890006780,11069,33758.0,6.06
709244,890006780,1104,32979.0,8.51
1214979,890006780,13268,30743.0,10.11
902069,890006780,1749,29892.0,5.21
930694,890006780,11468,28861.0,31.37
1294908,890006780,36284,26116.0,15.86
1242220,890006780,12947,24662.0,6.99
1193412,890006780,4616,23626.0,16.4
1215000,890006780,34205,18866.0,11.91
296122,890006780,18018,18783.0,1.16
1263508,890006780,3759,18507.0,14.41
930685,890006780,2102,17730.0,8.91
1012299,890006780,1339,17031.0,2.83
1012316,890006780,1373,16882.0,2.83
1012309,890006780,1313,16591.0,2.84
1072706,890006780,1,15680.0,6.25
296092,890006780,2673,15417.0,4.88
297036,890006780,11913,15147.0,5.57
1222677,890006780,6046,14842.0,8.01
1343519,890006780,3804,14609.0,7.35
295924,890006780,1483,10420.0,4.13
297861,890006780,1135,10405.0,5.1
297457,890006780,540,10203.0,4.96
296109,890006780,1106,7911.0,1.79
933457,890006780,4037,7564.0,10.1
930211,890006780,5841,7497.0,1.75
730441,890006780,347,6440.0,4.73
329091,890006780,4073,6035.0,1.41
297701,890006780,2315,5888.0,1.34
296117,890006780,4516,5773.0,4.68
1312399,890006780,328,5692.0,12.24
1338711,890006780,430,5453.0,6.95
1336202,890006780,83,5104.0,8.38
296125,890006780,1516,4931.0,1.01
618826,890006780,344,4847.0,4.95
1338713,890006780,379,4192.0,3.2
1338714,890006780,380,4159.0,3.2
297273,890006780,1024,3925.0,1.42
296868,890006780,2616,3924.0,3.33
1338716,890006780,381,3921.0,3.2
419742,890006780,555,3852.0,8.4
1372217,890006780,907,3747.0,11.55
930208,890006780,990,3609.0,11.86
316229,890006780,1597,3140.0,2.05
296120,890006780,390,2993.0,1.66
1434573,890006780,452,2918.0,20.0
1338372,890006780,1133,2877.0,8.46
566752,890006780,46185,2667.0,
560039,890006780,809,2492.0,0.04
1327017,890006780,2557,2212.0,38.34
618836,890006780,171,2153.0,3.46
296101,890006780,432,2098.0,1.92
329058,890006780,335,1588.0,5.95
329247,890006780,725,1070.0,2.95
295962,890006780,175,897.0,5.73
1241509,890006780,1211,832.0,11.22
390552,890006780,306,718.0,246.46
956792,890006780,368,671.0,9.6
297469,890006780,35,593.0,3.98
297496,890006780,7,434.0,2.16
1222159,890006780,269,427.0,8.73
296114,890006780,70,407.0,3.0
603161,890006780,512,379.0,25.0
1205157,890006780,788,362.0,98.29
1208895,890006780,829,351.0,35.12
1205141,890006780,711,307.0,35.12
566754,890006780,285,301.0,2.57
1205153,890006780,439,281.0,98.22
1205149,890006780,571,270.0,35.08
606765,890006780,10,269.0,9.5
1241510,890006780,447,235.0,11.11
1205155,890006780,345,229.0,98.21
297729,890006780,18,217.0,4.15
1205148,890006780,463,198.0,35.1
1206390,890006780,286,192.0,35.05
297739,890006780,13,190.0,9.44
1205154,890006780,213,136.0,135.29
930117,890006780,24,126.0,8.43
1205151,890006780,226,117.0,98.25
297220,890006780,31,116.0,3.8
316292,890006780,68,113.0,3.77
1206387,890006780,206,99.0,35.09
395140,890006780,7,92.0,6.6
1205158,890006780,130,74.0,35.12
1352964,890006780,22,67.0,6.0
1205152,890006780,120,61.0,35.05
395064,890006780,8,58.0,3.9
395074,890006780,17,57.0,8.5
1205159,890006780,81,47.0,35.1
931038,890006780,3,46.0,4.39
1327601,890006780,33,44.0,7.81
297461,890006780,13,44.0,4.99
395151,890006780,4,37.0,6.4
1229609,890006780,8,31.0,6.38
602798,890006780,2,24.0,7.57
1063030,890006780,9,18.0,3.64
297044,890006780,2,15.0,4.34
609771,890006780,8,13.0,4.6
1215005,890006780,5,13.0,8.99
316310,890006780,13,10.0,5.95
339025,890006780,2,9.0,6.96
1222156,890006780,4,8.0,8.99
297614,890006780,2,8.0,1.2
930702,890006780,10,5.0,6.2
609796,890006780,6,3.0,7.97
1378019,890006780,2,1.0,38.19
566765,890006780,16,,
566786,890006780,1,,
1373952,890006780,1,,
297464,890006780,1,,
566789,890006780,1,,
566753,890006780,62,,
930758,890006780,9,,
1065211,890006780,2,,
1349455,890007073,530,502885.0,6.86
1349459,890007073,176,217462.0,10.83
1349460,890007073,228,203982.0,9.45
1349457,890007073,48,171086.0,5.33
1015860,890007073,245,67849.0,5.86
1349463,890007073,234,67758.0,8.6
777926,890007073,236,67190.0,10.24
735556,890007073,141,63341.0,8.01
777912,890007073,139,52688.0,8.13
1373461,890007073,34,50214.0,12.75
1370975,890007073,25,47992.0,11.48
1350531,890007073,86,42626.0,13.16
775421,890007073,104,37919.0,16.67
778154,890007073,187,33594.0,14.79
777833,890007073,65,32372.0,6.14
939452,890007073,28,26578.0,2.32
777939,890007073,167,24267.0,12.93
913755,890007073,23,16803.0,13.21
774735,890007073,145,15229.0,8.03
748214,890007073,74,13092.0,13.42
901413,890007073,2,9193.0,9.4
1368408,890007073,8,8074.0,6.6
775709,890007073,84,6389.0,10.15
1035955,890007073,36,5768.0,16.32
735554,890007073,62,4931.0,7.87
732898,890007073,93,4445.0,5.27
1374302,890007073,3,3353.0,10.75
1431534,890007073,2,2643.0,10.5
949222,890007073,3,729.0,6.6
1395041,890007073,2,330.0,16.0
930749,890007073,18,31.0,8.5
759775,890008845,843,682807.0,5.39
1074834,890008845,143,521100.0,4.95
745081,890008845,248,222348.0,8.66
776865,890008845,262,206866.0,7.68
777912,890008845,288,106279.0,7.01
777926,890008845,387,102379.0,8.96
777914,890008845,483,97837.0,7.78
778154,890008845,494,93088.0,10.65
775421,890008845,130,80114.0,17.64
774735,890008845,301,78998.0,7.42
735556,890008845,142,58323.0,6.7
1107981,890008845,29,46296.0,8.13
747253,890008845,156,41760.0,6.5
1015860,890008845,463,39665.0,4.77
939452,890008845,53,29631.0,2.17
775709,890008845,251,29033.0,6.64
732898,890008845,234,23991.0,4.83
913755,890008845,222,23902.0,10.07
949222,890008845,31,22323.0,6.49
732897,890008845,71,19506.0,7.97
1295295,890008845,9,18434.0,8.0
956849,890008845,14,17631.0,6.38
901413,890008845,11,14666.0,7.1
1295272,890008845,6,14304.0,8.0
735554,890008845,181,13557.0,6.87
737978,890008845,249,12085.0,4.68
777833,890008845,28,11976.0,4.86
777939,890008845,208,9226.0,12.75
1107980,890008845,13,9104.0,8.27
1327330,890008845,8,7968.0,5.85
901389,890008845,16,7701.0,9.64
784329,890008845,16,6368.0,8.29
1232300,890008845,5,4886.0,8.95
748214,890008845,52,4602.0,14.42
1258916,890008845,6,4125.0,7.2
1323439,890008845,15,3836.0,9.3
1343665,890008845,2,2931.0,17.95
954836,890008845,34,1978.0,7.79
1035955,890008845,26,1118.0,15.72
930749,890008845,11,440.0,8.5
1243424,890008845,3,273.0,9.03
560039,890008845,18,104.0,
777963,890008845,3,54.0,6.55
740327,890008845,1,11.0,13.3
566752,890008845,16,8.0,
953792,890008845,11,,
564472,890008845,2,,
953790,890008845,2,,
